lambda,Psi,Delta,T,R,n_S,k_S
879,25.858989376775945,-92.61700116698687,0.43045677481306976,0.5695432251869295,3.7807,0.04
882,26.08901339241363,-93.06755525627904,0.4341996424405398,0.5658003575594606,3.7769,0.0384
885,26.318416212598702,-93.50708470450873,0.4379911192051539,0.5620088807948469,3.7731,0.0367
888,26.54686953070274,-93.9328619687068,0.44181416789471667,0.5581858321052835,3.7694,0.0351
891,26.774427052518448,-94.34727047499916,0.4456808557685406,0.5543191442314607,3.7657,0.0335
894,27.009474823677383,-94.75838775445624,0.44970672597136035,0.55029327402864,3.762,0.032
897,27.23504184093242,-95.14965159829254,0.45365676195935883,0.5463432380406414,3.7583,0.0305
900,27.459905465807555,-95.5285412876994,0.4576361515695108,0.5423638484304906,3.7547,0.0291
903,27.68413743148743,-95.89731881435796,0.46165732235855167,0.5383426776414484,3.7511,0.0277
906,27.90780702608563,-96.2562532911436,0.46571986238658375,0.5342801376134142,3.7475,0.0263
909,28.13057581289805,-96.60467767265011,0.4698184158985346,0.5301815841014667,3.7439,0.025
912,28.362078127516735,-96.94934175593728,0.47408004155333217,0.5259199584466655,3.7404,0.0237
915,28.584049142929867,-97.2771595793973,0.47824697621017315,0.5217530237898287,3.7369,0.0225
918,28.80610618858579,-97.59519447905275,0.4824446119841536,0.5175553880158442,3.7335,0.0213
921,29.02756356295301,-97.90562509933454,0.4866893563203975,0.5133106436796031,3.73,0.0201
924,29.24882719065188,-98.20584481478275,0.49095839101563027,0.5090416089843707,3.7266,0.019
927,29.478886369130457,-98.50276016427227,0.4954048384420023,0.5045951615579978,3.7232,0.0179
930,29.70043985655035,-98.78561928825778,0.4997413337946122,0.5002586662053882,3.7199,0.0168
933,29.921623621515746,-99.05991012462847,0.5041084350889831,0.49589156491101677,3.7166,0.0158
936,30.142925905901738,-99.32668283228752,0.5085109965489558,0.4914890034510455,3.7133,0.0148
939,30.363992212509686,-99.58530262207847,0.5129425889640753,0.4870574110359251,3.71,0.0139
942,30.58609700241351,-99.83662303190802,0.5174055820815073,0.4825944179184928,3.7068,0.0129
945,30.807315391005584,-100.08033972033608,0.5218986515681925,0.47810134843180857,3.7035,0.0121
948,31.039190556701758,-100.3187506662593,0.5265651644920895,0.47343483550791116,3.7004,0.0112
951,31.261653975416973,-100.54780561687458,0.5311157283594302,0.46888427164056995,3.6972,0.0104
954,31.484992369617164,-100.7694374203993,0.5356888404120648,0.46431115958793545,3.6941,0.0096
957,31.708485993770044,-100.98401858666593,0.5402859207665749,0.45971407923342533,3.691,0.0089
960,31.932639979842417,-101.19248541218872,0.5449123794331386,0.45508762056686297,3.6879,0.0082
963,32.15786096742389,-101.39399797287676,0.5495589527461782,0.450441047253822,3.6849,0.0075
966,32.39332414476861,-101.59056254563238,0.5543948347303416,0.44560516526965527,3.6819,0.0068
969,32.61981375269282,-101.77956657136825,0.5590910047323498,0.44090899526764954,3.6789,0.0062
972,32.847563200012345,-101.96205337472708,0.5638046820408168,0.4361953179591841,3.676,0.0056
975,33.07552154033672,-102.13944867607813,0.5685449778464678,0.4314550221535345,3.673,0.0051
978,33.30486619349969,-102.31061090861944,0.5733008846221334,0.42669911537786714,3.6701,0.0046
981,33.53565867615834,-102.47566090840323,0.5780715627065933,0.42192843729340596,3.6673,0.0041
984,33.76764148109259,-102.63573662984534,0.5828645012351032,0.4171354987648982,3.6645,0.0036
987,34.01034513293644,-102.78923469509746,0.587843187541316,0.41215681245868563,3.6617,0.0032
990,34.24451158901936,-102.93881919825571,0.5926717050870217,0.4073282949129767,3.6589,0.0028
993,34.48038011148027,-103.08279378619727,0.5975111432939475,0.402488856706053,3.6562,0.0024
996,34.7177024544942,-103.22230942673745,0.6023688122185744,0.3976311877814262,3.6535,0.002
999,34.95605288097091,-103.35683636606963,0.6072360875444843,0.39276391245551634,3.6508,0.0017
1002,35.195983356437836,-103.48716454625546,0.6121193656306165,0.38788063436938575,3.6481,0.0014
1005,35.437359700200474,-103.61170954860006,0.6170017255982552,0.3829982744017458,3.6455,0.0012
1008,35.681244351387086,-103.7318547270204,0.6218976900992969,0.3781023099007059,3.643,0.0009
1011,35.936760276140646,-103.84546839506396,0.6269883006839277,0.37301169931607264,3.6404,0.0007
1014,36.18383809899884,-103.95713876092682,0.6319020309527925,0.3680979690472084,3.6379,0.0005
1017,36.43258116738909,-104.06347581519614,0.6368103164454919,0.363189683554508,3.6355,0.0004
1020,36.6829811968329,-104.16741141849067,0.6417358160132193,0.3582641839867814,3.633,0.0003
1023,36.93568743894922,-104.26685218337693,0.6466616487935067,0.35333835120649276,3.6306,0.0002
1026,37.19075866048298,-104.3618838697361,0.6515868287974665,0.3484131712025365,3.6283,0.0001
1029,37.44796911003499,-104.45372857071001,0.6565180356226276,0.3434819643773722,3.626,0.0
1032,37.70682751585771,-104.54191612343925,0.6614456163781776,0.33855438362182244,3.6237,0.0
1035,37.979819670275305,-104.62092493610876,0.6665584491733249,0.3334415508266752,3.6215,0.0
1038,38.2439360930218,-104.70073752874768,0.6714777534558978,0.32852224654409967,3.6194,0.0
1041,38.51043026966812,-104.77778163079054,0.676398396339072,0.3236016036609301,3.6173,0.0
1044,38.77936546467757,-104.8521687110933,0.6813191641858106,0.3186808358141897,3.6152,0.0
1047,39.05107681453379,-104.9228023010129,0.6862315778136724,0.31376842218632794,3.6132,0.0
1050,39.32535083070063,-104.99097725916727,0.6911418082134326,0.3088581917865679,3.6112,0.0
1053,39.602249736727586,-105.0568054555501,0.6960486163370555,0.3039513836629454,3.6092,0.0
1056,39.88210196488281,-105.119150753466,0.7009437341627892,0.29905626583721173,3.6073,0.0
1059,40.177428839627034,-105.17241780275084,0.7060273227663643,0.2939726772336388,3.6054,0.0
1062,40.462986502874465,-105.23035297597056,0.7109100618338742,0.2890899381661262,3.6035,0.0
1065,40.75167455107724,-105.28507377699259,0.7157777011495653,0.28422229885043515,3.6017,0.0
1068,41.04328828054703,-105.33795740207228,0.7206359112715638,0.27936408872843776,3.5999,0.0
1071,41.33788704207451,-105.38911878928758,0.7254834218167288,0.2745165781832719,3.5981,0.0
1074,41.63552951722379,-105.43867420662669,0.730318958236458,0.2696810417635432,3.5963,0.0
1077,41.93652861683169,-105.48538206868986,0.7351348401805399,0.26486515981945946,3.5946,0.0
1080,42.24068374513608,-105.53068547102482,0.7399363806173337,0.26006361938266415,3.5929,0.0
1083,42.548051477435266,-105.57470373509192,0.7447223032432089,0.25527769675679307,3.5912,0.0
1086,42.87294835732996,-105.60863726707096,0.7496874287100745,0.2503125712899261,3.5895,0.0
1089,43.18734320999719,-105.64880395962308,0.7544322190267695,0.245567780973231,3.5879,0.0
1092,43.505116059924944,-105.68801632005773,0.7591577127696908,0.24084228723031118,3.5863,0.0
1095,43.82631986951786,-105.72639981546321,0.7638626413857891,0.23613735861421162,3.5847,0.0
1098,44.15100648330989,-105.76408219863387,0.7685457394939391,0.2314542605060612,3.5831,0.0
1101,44.4792265550899,-105.80119366456414,0.7732057458759685,0.2267942541240338,3.5815,0.0
1104,44.81127384662716,-105.83632791622915,0.7778359190355965,0.22216408096440485,3.58,0.0
1107,45.14695055062692,-105.87111383150615,0.7824407123599094,0.21755928764008792,3.5785,0.0
1110,45.48630358563056,-105.905687964334,0.7870188869582505,0.21298111304175,3.577,0.0
1113,45.82937837212348,-105.94018996207501,0.7915692118850193,0.20843078811498209,3.5755,0.0
1116,46.17621874284036,-105.97476276795435,0.7960904651352004,0.20390953486479932,3.574,0.0
1119,46.54361325694247,-105.99668696042511,0.8007690047733532,0.19923099522664953,3.5726,0.0
1122,46.89833238894781,-106.03162186312888,0.8052279434254331,0.19477205657456417,3.5711,0.0
1125,47.25718256193335,-106.06536532697515,0.8096494566271545,0.1903505433728468,3.5697,0.0
1128,47.61995922850206,-106.09973441640716,0.8140372974859311,0.18596270251406885,3.5683,0.0
1131,47.98669717891397,-106.13488974852665,0.8183903060834399,0.18160969391655915,3.5669,0.0
1134,48.357670555015325,-106.16919685690972,0.8227029914364171,0.17729700856358313,3.5656,0.0
1137,48.7324270350954,-106.2063955499877,0.8269830336066872,0.17301696639331504,3.5642,0.0
1140,49.11147828858711,-106.24303015931936,0.8312207474955976,0.168779252504404,3.5629,0.0
1143,49.49460860134661,-106.28107933670691,0.8354193844235458,0.16458061557645698,3.5616,0.0
1146,49.881841152397286,-106.32072792859472,0.8395778680305592,0.160422131969442,3.5603,0.0
1149,50.27319634699284,-106.3621671955006,0.8436951407963762,0.15630485920362466,3.559,0.0
1152,50.687827617491976,-106.39230817507452,0.8479523766365462,0.15204762336345362,3.5577,0.0
1155,51.08773252202244,-106.43775734729003,0.8519828771096872,0.1480171228903136,3.5564,0.0
1158,51.4920549406542,-106.48354960996265,0.8559656803021088,0.14403431969788988,3.5552,0.0
1161,51.90055711308108,-106.5318988037397,0.8599034381713944,0.14009656182860628,3.554,0.0
1164,52.312991089051785,-106.58517630042621,0.8637983414734299,0.1362016585265713,3.5527,0.0
1167,52.729861891550485,-106.63937119233668,0.8676430601656638,0.13235693983433627,3.5515,0.0
1170,53.15091616204825,-106.69683574957114,0.8714399534575816,0.12856004654241765,3.5503,0.0
1173,53.57614756334557,-106.75782800385377,0.8751881432031093,0.12481185679689068,3.5491,0.0
1176,54.005808777211904,-106.82030701456921,0.8788841185304427,0.12111588146955987,3.548,0.0
1179,54.43936205046289,-106.88913152386566,0.8825324888633722,0.11746751113662895,3.5468,0.0
1182,54.87731810883131,-106.95992858158876,0.8861272567229228,0.11387274327707889,3.5457,0.0
1185,55.319117645893805,-107.03776393492176,0.8896726052318336,0.11032739476816629,3.5445,0.0
1188,55.787621680932304,-107.10295020941098,0.8933268468015051,0.10667315319849564,3.5434,0.0
1191,56.23811239240677,-107.18842311604374,0.8967622882974291,0.10323771170256861,3.5423,0.0
1194,56.69262242769813,-107.2795094355563,0.9001438101143777,0.09985618988562328,3.5412,0.0
